,Easting,Northing,Transect,Distance,plot_ID
23,575481.45722924,4159935.0742674,A,0.5,A0.5
14,575483.01874161,4159936.19685542,A,2,A2
17,575486.68349218,4159937.96957314,A,6,A6
8,575492.07025431,4159940.71091336,A,12,A12
9,575502.47208783,4159946.66167784,A,24,A24
0,575523.47635816,4159958.15333598,A,48,A48
115,575544.43818055,4159969.64961288,A,72,A72
52,575509.57271853,4159904.38151748,B,6,B6
34,575514.76534009,4159907.1056031906,B,12,B12
110,575525.24187588,4159912.90916057,B,24,B24
49,575545.52558999,4159925.30340952,B,48,B48
63,575565.5836456,4159938.45496906,B,72,B72
95,575520.46630634,4159872.46740182,C,0.5,C0.5
113,575521.82697169,4159873.21684576,C,2,C2
58,575525.00737559,4159875.59141728,C,6,C6
80,575530.08377836,4159878.9576130896,C,12,C12
12,575539.93236007,4159885.23959649,C,24,C24
85,575560.3629093,4159897.7422938705,C,48,C48
27,575580.87405137,4159910.12405339,C,72,C72
37,575730.6926784,4159933.93921359,D,0.5,D0.5
2,575725.45394434,4159935.4573148,D,6,D6
26,575719.70192144,4159937.48972127,D,12,D12
36,575708.43033756,4159941.4678006,D,24,D24
5,575702.44757837,4159943.37085998,D,30,D30
4,575743.11123879,4159957.3661624,E,0.5,E0.5
31,575741.62729188,4159957.7714449,E,2,E2
81,575737.79530926,4159958.79658104,E,6,E6
79,575732.15235867,4159960.57019413,E,12,E12
20,575720.59159648,4159963.91561476,E,24,E24
7,575714.79705543,4159965.6051043295,E,30,E30
30,575658.7897455,4160375.4848831696,F,0.5,F0.5
132,575658.39896042,4160376.8485075906,F,2,F2
107,575657.79290305,4160380.923981,F,6,F6
35,575656.91701704,4160386.77850668,F,12,F12
21,575655.83743599,4160398.62558642,F,24,F24
33,575655.48442983,4160404.5662998096,F,30,F30
13,575617.53066596,4160380.41371482,G,0.5,G0.5
24,575617.67729806,4160381.9027557694,G,2,G2
84,575618.03670976,4160385.8368461495,G,6,G6
28,575618.62382894,4160391.8699559895,G,12,G12
97,575619.71607856,4160403.8783806306,G,24,G24
1,575620.18746621,4160409.7024994497,G,30,G30
55,575559.23202072,4160461.6141078495,H,0.5,H0.5
19,575560.73363597,4160460.3095709295,H,2,H2
74,575563.72864908,4160457.67119102,H,6,H6
72,575568.22527423,4160453.75031258,H,12,H12
11,575577.30587441,4160445.76678196,H,24,H24
10,575581.85870162,4160441.83508286,H,30,H30
94,575760.74140835,4159998.1465475494,I,0.5,I0.5
3,575759.25065283,4159998.2604058,I,2,I2
50,575755.26926999,4159998.2751015094,I,6,I6
18,575749.15703918,4159998.3609738695,I,12,I12
124,575737.2567461,4159998.7308526,I,24,I24
62,575731.30904729,4159999.1512549506,I,30,I30
